title,vol,pub_date,n_rev,stars
弱虫ペダル,49,2017/02/08,10,4.0
囚人リク,31,2017/01/06,2,2.5
実は私は,21,2017/02/08,2,5.0
ハリガネサービス,14,2017/02/08,0,
鮫島、最後の十五日,11,2017/02/08,2,5.0
魔法少女・オブ・ジ・エンド,13,2016/12/08,1,2.0
絢爛たるグランドセーヌ,7,2016/10/20,12,4.7
はじめの一歩,116,2016/12/16,22,2.3
ダイヤのA act2,6,2017/02/17,2,5.0
ベイビーステップ,43,2017/01/17,8,4.6
七つの大罪,24,2016/12/16,15,3.5
VECTOR BALL,3,2016/12/16,6,4.2
進撃の巨人,21,2016/12/09,110,4.5
ふらいんぐうぃっち,5,2016/11/09,24,4.9
アルスラーン戦記,6,2016/11/09,18,4.4
アホガール,8,2016/10/07,6,4.7
ノラガミ,18,2017/02/17,3,4.0
ボールルームへようこそ,8,2015/10/16,28,4.8
さよなら私のクラマー,2,2017/01/17,8,4.6
宇宙兄弟,30,2017/01/23,22,4.4
へうげもの,23,2016/12/22,5,5.0
バガボンド,37,2014/07/23,58,4.1
ひらけ駒!,8,2013/01/23,3,4.7
CITY,0,,0,
ヒストリエ,9,2015/05/22,61,4.7
おおきく振りかぶって,27,2016/07/22,26,4.9
ヴィンランド・サガ,18,2016/08/23,36,4.7
ウィッチクラフトワークス,10,2016/11/07,11,4.5
亜人,9,2016/10/07,26,4.7
甘々と稲妻,8,2017/01/06,13,4.9
はねバド!,9,2016/12/07,6,4.7
いぬやしき,8,2017/01/23,43,3.3
累,10,2016/12/22,2,5.0
少女ファイト,13,2016/05/23,10,3.5
JJM 女子柔道部物語,1,2016/12/22,16,4.7
妖怪番長,6,2017/02/23,0,
監獄学園,23,2016/11/04,79,2.3
彼岸島 48日後…,10,2017/01/06,6,4.0
ちこたん、こわれる,7,2017/02/06,2,3.0
手品先輩,2,2016/12/06,13,4.3
亜人ちゃんは語りたい,4,2016/09/20,25,4.7
さばげぶっ!,12,2016/11/11,6,4.7
