title,vol,pub_date,n_rev,stars
恋と嘘,5,2016/11/09,3,4.3
やがて君になる,3,2016/11/26,17,4.8
早乙女選手、ひたかくす,1,2016/12/12,8,4.3
レイリ,2,2016/11/08,8,4.1
少年ラケット,8,2017/01/06,1,5.0
少女終末旅行,4,2016/11/09,9,4.9
不滅のあなたへ,1,2017/01/17,20,4.3
フルドラム,0,,0,
弟の夫,3,2016/10/12,10,4.6
ケンガンアシュラ,18,2016/12/19,2,5.0
ななしのアステリズム,4,2016/11/22,5,5.0
おとなりボイスチャット,3,2016/06/13,4,3.8
