title,vol,pub_date,n_rev,stars
弱虫ペダル,49,2017/02/08,12,4.1
囚人リク,32,2017/03/08,1,5.0
実は私は,22,2017/03/08,11,5.0
ハリガネサービス,14,2017/02/08,0,
鮫島、最後の十五日,11,2017/02/08,2,5.0
魔法少女・オブ・ジ・エンド,14,2017/03/08,2,2.0
絢爛たるグランドセーヌ,7,2016/10/20,12,4.7
はじめの一歩,116,2016/12/16,23,2.3
ダイヤのA act2,6,2017/02/17,5,4.0
ベイビーステップ,43,2017/01/17,9,4.7
七つの大罪,25,2017/03/17,0,
VECTOR BALL,4,2017/03/17,4,5.0
進撃の巨人,21,2016/12/09,110,4.5
ふらいんぐうぃっち,5,2016/11/09,24,4.9
アルスラーン戦記,6,2016/11/09,20,4.4
アホガール,8,2016/10/07,6,4.7
ノラガミ,18,2017/02/17,6,4.3
ボールルームへようこそ,8,2015/10/16,28,4.8
さよなら私のクラマー,2,2017/01/17,8,4.6
宇宙兄弟,30,2017/01/23,22,4.4
へうげもの,23,2016/12/22,5,5.0
バガボンド,37,2014/07/23,59,4.1
ひらけ駒!,8,2013/01/23,3,4.7
CITY,0,,0,
ヒストリエ,9,2015/05/22,61,4.7
おおきく振りかぶって,27,2016/07/22,26,4.9
ヴィンランド・サガ,18,2016/08/23,39,4.6
ウィッチクラフトワークス,10,2016/11/07,11,4.5
亜人,9,2016/10/07,26,4.7
甘々と稲妻,8,2017/01/06,13,4.9
はねバド!,9,2016/12/07,7,4.7
いぬやしき,8,2017/01/23,47,3.4
累,10,2016/12/22,2,5.0
少女ファイト,13,2016/05/23,10,3.5
JJM 女子柔道部物語,1,2016/12/22,18,4.7
妖怪番長,6,2017/02/23,1,4.0
監獄学園,24,2017/03/06,35,2.1
彼岸島 48日後…,10,2017/01/06,8,4.0
ちこたん、こわれる,7,2017/02/06,2,3.0
手品先輩,2,2016/12/06,13,4.3
亜人ちゃんは語りたい,4,2016/09/20,26,4.7
さばげぶっ!,12,2016/11/11,6,4.7
ちはやふる,34,2017/03/13,14,4.4
トモちゃんは女の子,4,2017/01/26,9,4.8
ONE PIECE,84,2017/02/03,42,4.8
HUNTER×HUNTER,33,2016/06/03,213,4.7
トリコ,43,2016/12/31,19,4.3
ハイキュー!!,25,2017/03/03,15,4.8
斉木楠雄のサイ難,20,2016/12/31,3,5.0
食戟のソーマ,23,2017/03/03,14,2.9
ワールドトリガー,18,2017/03/03,15,4.7
火ノ丸相撲,13,2017/02/03,9,4.3
僕のヒーローアカデミア,12,2017/02/03,46,3.5
ブラッククローバー,10,2017/03/03,15,2.5
背すじをピン!と～鹿高競技ダンス部へようこそ～,9,2017/02/03,4,5.0
左門くんはサモナー,8,2017/03/03,4,3.8
鬼滅の刃,5,2017/03/03,20,4.7
ファイアパンチ,4,2017/03/03,3,5.0
悪魔のメムメムちゃん,2,2017/03/03,8,5.0
新テニスの王子様,20,2017/03/03,14,1.9
終わりのセラフ,13,2016/12/31,3,3.7
キングダム,45,2017/01/19,43,4.7
テラフォーマーズ,20,2017/02/17,15,3.2
干物妹!うまるちゃん,9,2016/11/18,42,3.2
群青戦記 グンジョーセンキ,14,2017/02/17,1,5.0
ゴールデンカムイ,10,2017/03/17,10,4.7
東京喰種 トーキョーグール：re,10,2017/03/17,24,3.6
かぐや様は告らせたい～天才たちの恋愛頭脳戦～,4,2017/01/19,27,4.9
ワンパンマン,12,2016/12/02,28,4.1
君に届け,28,2017/02/24,9,4.6
高台家の人々,5,2016/05/25,43,4.8
アシガール,8,2016/12/22,20,4.7
名探偵コナン,91,2016/12/16,10,4.7
銀の匙 Silver Spoon,13,2015/06/18,44,4.2
湯神くんには友達がいない,10,2016/10/18,7,3.9
だがしかし,7,2017/03/17,11,4.8
MAJOR 2nd,8,2017/02/17,2,4.5
古見さんは、コミュ症です。,3,2017/03/17,9,4.9
アサギロ 浅葱狼,15,2017/02/10,4,3.5
MIX,10,2016/12/12,9,4.2
放課後さいころ倶楽部,9,2017/03/10,2,5.0
からかい上手の高木さん,5,2017/02/10,64,4.9
BLUE GIANT SUPREME,1,2017/03/10,8,4.3
土竜の唄,52,2016/12/12,1,5.0
アイアム ア ヒーロー,21,2016/10/28,60,2.0
あさひなぐ,22,2017/02/28,6,5.0
白暮のクロニクル,10,2017/01/30,10,4.2
デッドデッドデーモンズデデデデデストラクション,5,2016/09/30,9,4.6
イチゴーイチハチ!,3,2016/11/30,5,5.0
私たち、結婚しました,1,2016/10/28,0,
スローモーションをもう一度,2,2017/01/30,3,5.0
恋は雨上がりのように,7,2017/03/10,14,4.4
重版出来!,8,2016/08/30,11,4.5
7SEEDS,33,2017/01/10,11,4.5
賭ケグルイ,6,2017/02/22,12,3.7
私がモテないのはどう考えてもお前らが悪い!,11,2017/03/22,0,
月刊少女野崎くん,8,2016/08/22,21,4.9
ばらかもん,14,2016/12/12,21,3.5
咲-Saki-,16,2016/12/24,19,4.4
プラスチック姉さん,10,2016/11/25,9,4.2
キャタピラー,8,2016/08/25,3,3.7
ムルシエラゴ,9,2017/01/25,4,4.3
ハイスコアガール,7,2017/01/25,37,4.4
シノハユ,7,2016/12/24,4,5.0
アカギ,33,2016/12/15,10,1.1
ラーメン大好き小泉さん,4,2016/06/17,17,4.8
イムリ,20,2016/11/25,6,4.8
乙嫁語り,9,2016/12/15,59,4.9
ふうらい姉妹,3,2013/09/14,22,4.6
ヒナまつり,12,2017/03/03,35,4.7
ハクメイとミコチ,5,2017/01/14,26,4.9
ダンジョン飯,4,2017/02/15,127,4.8
苺ましまろ,7,2013/03/27,38,4.3
よつばと!,13,2015/11/27,167,4.5
新米姉妹のふたりごはん,3,2017/02/27,6,4.8
ギリギリアウト,4,2016/08/26,4,5.0
となりの関くん,9,2016/08/23,5,4.8
くまみこ,7,2016/09/23,9,4.4
